localidad,provincia,idproducto,producto,precio,fecha_vigencia,idempresabandera,empresabandera,latitud,longitud
tartagal,salta,6,gnc,16,2018-05-08 18:29:00,26,axion,-22.53684,-63.79751
los polvorines,buenos aires,6,gnc,12,2018-06-09 16:38:00,1,blanca,-34.86468,-58.689329
los polvorines,buenos aires,6,gnc,12,2018-06-09 16:38:00,1,blanca,-34.86468,-58.689329
neuquen,neuquen,6,gnc,15,2018-07-03 22:00:00,1,blanca,-38.962712,-68.068052
neuquen,neuquen,6,gnc,15,2018-07-03 22:00:00,1,blanca,-38.962712,-68.068052
rosario,santa fe,6,gnc,15,2018-07-26 15:47:00,2,ypf,-32.94808,-60.7107
rosario,santa fe,6,gnc,15,2018-07-26 15:47:00,2,ypf,-32.94808,-60.7107
funes,santa fe,6,gnc,15,2018-07-26 15:48:00,2,ypf,-32.92274,-60.80618
funes,santa fe,6,gnc,15,2018-07-26 15:48:00,2,ypf,-32.92274,-60.80618
valle viejo,catamarca,6,gnc,16,2018-08-04 09:31:00,2,ypf,-28.44959,-65.72266
valle viejo,catamarca,6,gnc,16,2018-08-04 09:31:00,2,ypf,-28.44959,-65.72266
dorrego,mendoza,6,gnc,15,2018-08-13 11:39:00,1,blanca,-32.904486,-68.820967
dorrego,mendoza,6,gnc,15,2018-08-13 11:39:00,1,blanca,-32.904486,-68.820967
tafi viejo,tucuman,6,gnc,17,2018-08-24 09:50:00,2,ypf,-26.742595,-65.258083
tafi viejo,tucuman,6,gnc,17,2018-08-24 09:50:00,2,ypf,-26.742595,-65.258083
banfield,buenos aires,6,gnc,14,2018-09-02 20:12:00,2,ypf,-34.74335,-58.43025
banfield,buenos aires,6,gnc,14,2018-09-02 20:12:00,2,ypf,-34.74335,-58.43025
tafi viejo,tucuman,6,gnc,17,2018-09-23 14:00:00,1,blanca,-26.741412,-65.259063
tafi viejo,tucuman,6,gnc,17,2018-09-23 14:00:00,1,blanca,-26.741412,-65.259063
pergamino,buenos aires,6,gnc,19,2018-10-02 21:55:00,1,blanca,-33.899264,-60.552672
pergamino,buenos aires,6,gnc,19,2018-10-02 21:55:00,1,blanca,-33.899264,-60.552672
villa carlos paz,cordoba,6,gnc,19,2018-10-05 07:00:00,2,ypf,-31.42448,-64.49503
villa carlos paz,cordoba,6,gnc,19,2018-10-05 07:00:00,2,ypf,-31.42448,-64.49503
san miguel de tucuman,tucuman,6,gnc,22,2018-10-09 06:00:00,1,blanca,-26.815549,-65.249303
san miguel de tucuman,tucuman,6,gnc,22,2018-10-09 06:00:00,1,blanca,-26.815549,-65.249303
jose c paz,buenos aires,6,gnc,16,2018-10-25 19:05:00,6,dapsa,-34.51728,-58.748668
jose c paz,buenos aires,6,gnc,16,2018-10-25 19:05:00,6,dapsa,-34.51728,-58.748668
